date,time,voltage,capacity
2022-01-11,13:59:23.780970,3591.25,0.0
2022-01-11,14:00:23.842891,3642.5,0.089838
2022-01-11,14:01:23.904848,3675.0,0.37107
2022-01-11,14:02:23.966789,3693.75,0.933534
2022-01-11,14:03:24.028741,3710.0,1.44919
2022-01-11,14:04:24.090678,3722.5,1.87885
2022-01-11,14:05:24.152635,3727.5,2.261702
2022-01-11,14:06:24.214573,3731.25,2.769482
2022-01-11,14:07:24.276522,3735.0,3.277326
2022-01-11,14:08:24.338452,3740.0,3.789012
2022-01-11,14:09:24.400391,3745.0,4.296856
2022-01-11,14:10:24.462316,3747.5,4.72261
2022-01-11,14:11:24.524256,3753.75,5.230454
2022-01-11,14:12:24.586228,3757.5,5.74214
2022-01-11,14:13:24.648165,3762.5,6.242172
2022-01-11,14:14:24.710127,3767.5,6.734328
2022-01-11,14:15:24.772077,3771.25,7.226548
2022-01-11,14:16:24.834086,3776.25,7.718704
2022-01-11,14:17:24.896021,3780.0,8.089838
2022-01-11,14:18:24.957964,3785.0,8.581994
2022-01-11,14:19:25.019904,3790.0,9.222642
2022-01-11,14:20:25.081848,3793.75,9.738234
2022-01-11,14:21:25.143835,3797.5,10.257796
2022-01-11,14:22:25.205773,3802.5,10.773388
2022-01-11,14:23:25.267720,3806.25,11.29295
2022-01-11,14:24:25.329673,3810.0,11.808542
2022-01-11,14:25:25.391626,3812.5,12.328104
2022-01-11,14:26:25.453624,3817.5,12.843696
2022-01-11,14:27:25.515571,3821.25,13.363258
2022-01-11,14:28:25.523873,3825.0,13.87885
2022-01-11,14:29:25.552619,3827.5,14.398412
2022-01-11,14:30:25.614555,3830.0,14.914004
2022-01-11,14:31:25.676506,3832.5,79.433566
2022-01-11,14:32:25.738471,3835.0,15.949158
2022-01-11,14:33:25.763908,3837.5,16.46872
2022-01-11,14:34:25.825861,3840.0,16.984312
2022-01-11,14:35:25.887810,3842.5,17.503874
2022-01-11,14:36:25.949760,3845.0,18.277326
2022-01-11,14:37:26.003902,3847.5,18.796824
2022-01-11,14:38:26.065845,3850.0,19.31248
2022-01-11,14:39:26.127789,3851.25,19.831978
2022-01-11,14:40:26.189741,3853.75,20.519498
2022-01-11,14:41:26.251680,3855.0,20.949158
2022-01-11,14:42:26.313658,3857.5,21.378882
2022-01-11,14:43:26.375599,3860.0,21.808542
2022-01-11,14:44:26.437537,3861.25,22.667926
2022-01-11,14:45:26.499479,3862.5,23.09765
2022-01-11,14:46:26.561416,3865.0,23.52731
2022-01-11,14:47:26.623361,3867.5,24.386694
2022-01-11,14:48:26.685314,3868.75,24.816354
2022-01-11,14:49:26.747246,3871.25,25.246078
2022-01-11,14:50:26.809188,3872.5,25.675738
2022-01-11,14:51:26.871136,3875.0,26.535122
2022-01-11,14:52:26.933070,3877.5,26.964782
2022-01-11,14:53:26.995004,3878.75,27.394506
2022-01-11,14:54:27.056949,4040.0,28.25389
2022-01-11,14:55:27.118893,3882.5,28.68355
2022-01-11,14:56:27.180838,3885.0,29.113274
2022-01-11,14:57:27.242791,3886.25,29.972594
2022-01-11,14:58:27.304738,3887.5,30.402318
2022-01-11,14:59:27.366674,3890.0,30.831978
2022-01-11,15:00:27.428626,3891.25,31.261702
2022-01-11,15:01:27.490568,3892.5,32.121086
2022-01-11,15:02:27.552515,3895.0,32.550746
2022-01-11,15:03:27.614454,3897.5,32.980406
2022-01-11,15:04:27.639107,3900.0,33.83979
2022-01-11,15:05:27.701053,3900.0,34.269514
2022-01-11,15:06:27.762990,3902.5,34.699174
2022-01-11,15:07:27.824926,3905.0,35.421848
2022-01-11,15:08:27.886871,3907.5,36.140616
2022-01-11,15:09:27.948807,3908.75,36.499968
2022-01-11,15:10:28.010756,3910.0,37.222642
2022-01-11,15:11:28.063862,3912.5,37.581994
2022-01-11,15:12:28.125729,3915.0,38.304668
2022-01-11,15:13:28.187557,3916.25,38.66402
2022-01-11,15:14:28.249478,3918.75,39.382788
2022-01-11,15:15:28.311429,3920.0,39.746046
2022-01-11,15:16:28.373377,3922.5,40.464814
2022-01-11,15:17:28.435264,3925.0,41.187488
2022-01-11,15:18:28.497164,3925.0,41.593712
2022-01-11,15:19:28.559109,3927.5,42.003906
2022-01-11,15:25:05.811921,4262.5,45.277326
2022-01-11,15:26:05.873933,3943.75,46.09765
2022-01-11,15:27:05.935891,3947.5,46.503874
2022-01-11,15:28:05.997856,3948.75,47.324198
2022-01-11,15:29:06.059806,3952.5,47.706986
2022-01-11,15:30:06.121775,3953.75,48.476532
2022-01-11,15:31:06.183776,3956.25,48.85932
2022-01-11,15:32:06.245757,3960.0,49.62496
2022-01-11,15:33:06.307706,3961.25,50.394506
2022-01-11,15:34:06.369662,3965.0,50.777294
2022-01-11,15:35:06.431607,3967.5,51.54684
2022-01-11,15:36:06.493619,3970.0,51.929628
2022-01-11,15:37:06.555574,3972.5,52.695268
2022-01-11,15:38:06.603902,3975.0,53.464814
2022-01-11,15:39:06.665844,3980.0,53.7812
2022-01-11,15:40:06.727809,3981.25,54.414036
2022-01-11,15:41:06.789754,3985.0,55.046872
2022-01-11,15:42:06.851703,3988.75,55.679644
2022-01-11,15:43:06.913611,3992.5,56.31248
2022-01-11,15:44:06.975498,3995.0,57.261702
2022-01-11,15:45:07.037423,4000.0,57.894474
2022-01-11,15:46:07.043889,4002.5,58.52731
2022-01-11,15:47:07.105843,4006.25,59.160146
2022-01-11,15:48:07.167768,4010.0,59.792918
2022-01-11,15:49:07.229715,4013.75,60.425754
2022-01-11,15:50:07.283890,4017.5,189.05859
2022-01-11,15:51:07.345846,4021.25,61.66402
2022-01-11,15:52:07.407802,4025.0,62.242172
2022-01-11,15:53:07.443885,4030.0,62.964782
2022-01-11,15:54:07.505836,4033.75,63.542934
2022-01-11,15:55:07.567787,4037.5,64.121086
2022-01-11,15:56:07.573350,4042.5,64.843696
2022-01-11,15:57:07.635317,4046.25,65.421848
2022-01-11,15:58:07.639034,4050.0,66.0
2022-01-11,15:59:07.700962,4055.0,66.72261
2022-01-11,16:00:07.762946,4060.0,67.300762
2022-01-11,16:01:07.824905,4065.0,67.87885
2022-01-11,16:02:07.886863,4070.0,68.476532
2022-01-11,16:03:07.923900,4075.0,69.132804
2022-01-11,16:04:07.985873,4080.0,69.789012
2022-01-11,16:05:08.023896,4085.0,70.281232
2022-01-11,16:06:08.083870,4090.0,70.93744
2022-01-11,16:07:08.145692,4095.0,71.593712
2022-01-11,16:08:08.207461,4100.0,72.249984
2022-01-11,16:09:08.269340,4105.0,72.906192
2022-01-11,16:10:08.285331,4108.75,73.398412
2022-01-11,16:11:08.347202,4112.5,74.054684
2022-01-11,16:12:08.409157,4120.0,74.710892
2022-01-11,16:13:08.471032,4125.0,75.367164
2022-01-11,16:14:08.532954,4130.0,76.01953
2022-01-11,16:15:08.594902,4133.75,76.671832
2022-01-11,16:16:08.656861,4138.75,77.324198
2022-01-11,16:17:08.718808,4145.0,77.9765
2022-01-11,16:18:08.780765,4152.5,78.628866
2022-01-11,16:19:08.842740,4157.5,79.281232
2022-01-11,16:20:08.904613,4162.5,79.769482
2022-01-11,16:21:08.953885,4166.25,80.421848
2022-01-11,16:22:09.015834,4172.5,81.074214
2022-01-11,16:23:09.018936,4180.0,81.890568
2022-01-11,16:24:09.080879,4185.0,82.542934
2022-01-11,16:25:09.123908,4191.25,83.1953
2022-01-11,16:26:09.185884,4196.25,83.847602
2022-01-11,16:27:09.247847,4201.25,84.480438
2022-01-11,16:28:09.309809,4206.25,85.054684
2022-01-11,16:29:09.363898,4211.25,85.769482
2022-01-11,16:30:09.425843,4216.25,86.343728
2022-01-11,16:31:09.487806,4220.0,86.91791
2022-01-11,16:32:09.549767,4222.5,87.636678
2022-01-11,16:33:09.611705,4230.0,88.210924
2022-01-11,16:34:09.673716,4232.5,88.80073
2022-01-11,16:35:09.735686,4236.25,89.433566
2022-01-11,16:36:09.797635,4240.0,90.066402
2022-01-11,16:37:09.859590,4242.5,90.699174
2022-01-11,16:38:09.921549,4242.5,91.17577
2022-01-11,16:39:09.983545,4243.75,91.804636
2022-01-11,16:40:10.045500,4245.0,92.437472
2022-01-11,16:41:10.107456,4245.0,92.914004
2022-01-11,16:42:10.169404,4245.0,93.386694
2022-01-11,16:43:10.231358,4245.0,93.863226
2022-01-11,16:44:10.293307,4245.0,94.335916
2022-01-11,16:45:10.355243,4245.0,94.812448
2022-01-11,16:46:10.417179,4245.0,95.285138
2022-01-11,16:47:10.479138,4245.0,95.76167
2022-01-11,16:48:10.541103,4245.0,96.07812
2022-01-11,16:49:10.543870,4245.0,96.550746
2022-01-11,16:50:10.605826,4245.0,96.867132
2022-01-11,16:51:10.659861,4245.0,97.343728
2022-01-11,16:52:10.721807,4245.0,97.660114
2022-01-11,16:53:10.783815,4245.0,97.9765
2022-01-11,16:54:10.845763,4245.0,98.29295
2022-01-11,16:55:10.883915,4245.0,98.609336
2022-01-11,16:56:10.945873,4245.0,98.925722
2022-01-11,16:57:11.007842,4245.0,99.242172
2022-01-11,16:58:11.069793,4245.0,99.558558
2022-01-11,16:59:11.131753,4245.0,99.874944
2022-01-11,17:00:11.163907,4245.0,100.031248
2022-01-11,17:01:11.225851,4245.0,100.347634